"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"281","3","1","0","11","97.8","0","0.000"
"281","4","1","0","11","164.2","0","0.000"
"441","2","2","0","3","966.9","745","343.019"
"343","2","1","0","3","927.8","7847","3466.879"
"971","2","2","0","3","495.2","745","175.678"
"278","2","1","0","3","664.2","1125","355.821"
"420","1","1","0","11","93.1","545","24.162"
"420","2","1","0","2","93.1","1891","83.834"
"421","2","1","0","3","1013.9","1125","543.161"
"436","1","1","0","2","288.1","1125","154.339"
"683","2","2","0","3","505.8","745","179.439"
"713","1","2","0","2","1264.3","7847","4724.268"
"720","1","1","0","11","1328.0","1218","770.240"
"742","2","2","0","2","326.1","745","115.688"
"743","2","2","0","2","317.8","1125","170.250"
"769","2","1","0","3","937.1","109","48.640"
"791","1","2","0","2","613.3","1891","552.262"
"804","1","1","0","7","585.8","1218","339.764"
"827","1","2","0","2","113.8","1218","66.004"
"869","3","1","0","2","86.5","1125","46.339"
"878","1","1","0","2","183.2","7847","684.557"
"881","4","1","0","3","2475.2","109","128.475"
"921","1","1","0","2","139.2","545","36.126"
"930","1","3","0","2","75.8","1125","40.607"
"930","3","1","0","11","75.8","0","0.000"
"340","1","1","0","1","1129.3","1891","1016.908"
"400","1","2","0","2","323.0","1891","290.854"
"400","3","2","0","11","323.0","0","0.000"
"650","2","1","0","3","1931.4","1891","1739.180"
"801","1","1","0","1","156.9","7847","586.283"
"952","1","1","0","11","217.9","1125","116.732"
"1005","1","1","0","2","162.1","109","8.414"
"664","3","2","0","3","1314.9","545","341.248"
"763","2","4","0","3","1292.2","545","335.357"
"914","1","2","0","2","202.7","1891","182.527"
"738","2","2","0","3","557.3","1518","402.848"
"855","1","3","0","1","707.3","745","250.923"
"283","1","2","0","3","936.7","1218","543.286"
"647","1","2","0","3","539.5","745","191.394"
"711","1","4","0","2","126.9","1125","67.982"
"449","1","5","0","2","1296.5","1218","751.970"
"534","2","2","0","3","1592.3","745","564.887"
"535","2","2","0","3","234.2","1891","210.892"
"736","1","1","0","3","541.3","1125","289.982"
"748","1","1","0","2","189.0","1518","136.620"
"903","2","1","0","3","818.6","109","42.489"
"903","3","1","0","11","166.7","0","0.000"
"1012","1","1","0","7","471.1","1125","252.375"
"1012","2","1","0","7","471.1","1125","252.375"
"1023","1","1","0","1","937.6","545","243.330"
"754","20","3","0","1","292.7","0","0.000"
"307","2","1","0","3","508.7","1125","272.518"
"290","2","1","0","3","386.0","222","40.806"
"305","1","1","0","2","101.7","745","36.079"
"310","2","1","0","3","505.7","1218","293.306"
"310","3","1","0","11","87.1","0","0.000"
"317","1","1","0","2","114.7","545","29.767"
"317","2","1","0","11","114.7","1891","103.285"
"321","1","1","0","11","172.5","545","44.768"
"333","1","1","0","2","99.0","109","5.139"
"333","2","1","0","11","99.0","1518","71.563"
"355","2","1","0","11","135.9","1218","78.822"
"359","1","1","0","2","70.4","545","18.270"
"375","1","1","0","2","1608.2","222","170.010"
"391","1","1","0","1","253.6","745","89.968"
"395","1","1","0","2","306.1","945","137.745"
"402","2","1","0","1","813.3","745","288.528"
"403","1","1","0","2","66.7","1125","35.732"
"409","3","1","0","3","781.5","945","351.675"
"434","1","1","0","2","129.9","1125","69.589"
"445","2","1","0","3","2432.3","545","631.240"
"455","1","2","0","2","88.7","7847","331.442"
"458","2","1","0","2","493.4","745","175.040"
"468","1","1","0","1","1395.3","7847","5213.771"
"527","1","1","0","2","107.4","1518","77.635"
"662","2","1","0","1","653.6","745","231.872"
"711","2","1","0","3","1250.8","1518","904.150"
"712","1","1","0","11","115.0","358","19.605"
"712","2","1","0","2","115.0","545","29.845"
"721","3","1","0","3","2257.2","1125","1209.214"
"726","1","1","0","2","432.1","1125","231.482"
"735","1","1","0","2","1248.9","1125","669.054"
"739","3","1","0","3","1259.9","1891","1134.510"
"744","2","2","0","11","108.9","1125","58.339"
"754","13","1","0","3","1426.1","0","0.000"
"806","1","1","0","2","139.1","1218","80.678"
"842","1","1","0","2","574.6","945","258.570"
"848","4","1","0","3","365.8","545","94.934"
"857","1","6","0","8","1200.0","7847","4484.000"
"866","1","1","0","2","219.6","1125","117.643"
"883","4","1","0","3","1792.2","7847","6696.854"
"906","2","2","0","2","127.9","1125","68.518"
"923","1","1","0","1","179.7","358","30.635"
"923","2","1","0","2","558.0","745","197.957"
"945","2","1","0","2","66.7","545","17.310"
"979","1","1","0","2","182.4","745","64.709"
"984","1","1","0","2","426.2","1125","228.321"
"986","1","1","0","11","1338.0","1218","776.040"
"993","2","1","0","11","188.0","1125","100.714"
"1017","1","1","0","2","108.1","1125","57.911"
"1019","1","1","0","2","288.3","1125","154.446"
"326","2","1","0","2","238.3","945","107.235"
"897","1","2","0","1","1672.8","745","593.446"
"647","1","3","0","1","1039.6","745","368.810"
"391","1","2","0","3","1195.5","745","424.118"
"716","1","3","0","1","1365.0","1518","986.700"
"326","2","2","0","2","157.7","945","70.965"
"971","2","3","0","3","1523.6","745","540.515"
"903","2","2","0","3","1250.5","109","64.907"
"271","2","3","0","2","1616.3000000000002","945","727.335"
"283","2","3","0","1","468.0","7847","1748.760"
"481","1","1","0","11","111.5","109","5.787"
"764","3","1","0","3","1604.6","7847","5995.855"
"801","1","2","0","3","887.9","7847","3317.786"
"881","2","1","0","3","181.4","745","64.354"
"881","3","1","0","11","68.7","0","0.000"
"881","5","1","0","11","68.7","0","0.000"
"283","1","3","0","1","202.0","1218","117.160"
"1023","1","2","0","3","1166.1","545","302.631"
"662","2","2","0","3","1126.9","745","399.781"
"441","2","3","0","1","1561.5","745","553.961"
"548","1","1","0","2","132.1","109","6.857"
