O_Tz06,O_Sla06,O_Lga06,O_Ssd06,O_Sd06,O_State,D_Tz06,D_Sla06,D_Lga06,D_Ssd06,D_Sd06,D_Area,O_Zone06_abs,Dzn06_abs,Mode9,Freq,source not in tz,destination in tz,
406,1100,1100,505,5,0,292,7205,7200,505,5,1,1111000406,1172050292,6,4,#N/A,292,#N/A
407,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000407,1165500527,6,4,407,527,#N/A
407,1100,1100,505,5,0,283,7205,7200,505,5,1,1111000407,1172050283,6,3,407,283,#N/A
407,1100,1100,505,5,0,287,7205,7200,505,5,1,1111000407,1172050287,6,4,407,287,#N/A
408,1100,1100,505,5,0,521,6550,6550,510,5,1,1111000408,1165500521,6,4,408,521,#N/A
408,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000408,1165500527,6,4,408,527,#N/A
408,1100,1100,505,5,0,292,7205,7200,505,5,1,1111000408,1172050292,6,6,408,292,#N/A
408,1100,1100,505,5,0,294,7205,7200,505,5,1,1111000408,1172050294,6,3,408,294,#N/A
409,1100,1100,505,5,0,524,6550,6550,510,5,1,1111000409,1165500524,6,2,409,524,#N/A
409,1100,1100,505,5,0,525,6550,6550,510,5,1,1111000409,1165500525,6,5,409,525,#N/A
409,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000409,1165500527,6,3,409,527,#N/A
409,1100,1100,505,5,0,532,6550,6550,510,5,1,1111000409,1165500532,6,3,409,532,#N/A
409,1100,1100,505,5,0,277,7205,7200,505,5,1,1111000409,1172050277,6,1,409,277,#N/A
409,1100,1100,505,5,0,287,7205,7200,505,5,1,1111000409,1172050287,6,1,409,287,#N/A
410,1100,1100,505,5,0,520,6550,6550,510,5,1,1111000410,1165500520,6,4,410,520,#N/A
410,1100,1100,505,5,0,525,6550,6550,510,5,1,1111000410,1165500525,6,12,410,525,#N/A
410,1100,1100,505,5,0,526,6550,6550,510,5,1,1111000410,1165500526,6,3,410,526,#N/A
410,1100,1100,505,5,0,530,6550,6550,510,5,1,1111000410,1165500530,6,3,410,530,#N/A
414,1100,1100,505,5,0,521,6550,6550,510,5,1,1111000414,1165500521,6,3,414,521,#N/A
414,1100,1100,505,5,0,525,6550,6550,510,5,1,1111000414,1165500525,6,3,414,525,#N/A
414,1100,1100,505,5,0,537,6550,6550,510,5,1,1111000414,1165500537,6,3,414,537,#N/A
414,1100,1100,505,5,0,549,6550,6550,510,5,1,1111000414,1165500549,6,3,414,549,#N/A
414,1100,1100,505,5,0,558,6550,6550,510,5,1,1111000414,1165500558,6,3,414,558,#N/A
416,1100,1100,505,5,0,553,6550,6550,510,5,1,1111000416,1165500553,6,3,#N/A,553,#N/A
417,1100,1100,505,5,0,514,6550,6550,510,5,1,1111000417,1165500514,6,1,#N/A,514,#N/A
417,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000417,1165500527,6,1,#N/A,527,#N/A
417,1100,1100,505,5,0,555,6550,6550,510,5,1,1111000417,1165500555,6,1,#N/A,555,#N/A
417,1100,1100,505,5,0,279,7205,7200,505,5,1,1111000417,1172050279,6,3,#N/A,279,#N/A
422,1100,1100,505,5,0,509,6550,6550,510,5,1,1111000422,1165500509,6,4,422,509,#N/A
422,1100,1100,505,5,0,537,6550,6550,510,5,1,1111000422,1165500537,6,5,422,537,#N/A
422,1100,1100,505,5,0,540,6550,6550,510,5,1,1111000422,1165500540,6,3,422,540,#N/A
422,1100,1100,505,5,0,541,6550,6550,510,5,1,1111000422,1165500541,6,4,422,541,#N/A
422,1100,1100,505,5,0,548,6550,6550,510,5,1,1111000422,1165500548,6,4,422,548,#N/A
422,1100,1100,505,5,0,549,6550,6550,510,5,1,1111000422,1165500549,6,9,422,549,#N/A
422,1100,1100,505,5,0,550,6550,6550,510,5,1,1111000422,1165500550,6,9,422,550,#N/A
422,1100,1100,505,5,0,553,6550,6550,510,5,1,1111000422,1165500553,6,3,422,553,#N/A
422,1100,1100,505,5,0,556,6550,6550,510,5,1,1111000422,1165500556,6,6,422,556,#N/A
422,1100,1100,505,5,0,292,7205,7200,505,5,1,1111000422,1172050292,6,4,422,292,#N/A
1563,1300,1300,535,5,0,520,6550,6550,510,5,1,1113001563,1165500520,6,4,#N/A,520,#N/A
1365,1450,1450,530,5,0,521,6550,6550,510,5,1,1114501365,1165500521,6,3,#N/A,521,#N/A
1258,1501,1500,530,5,0,270,7205,7200,505,5,1,1115011258,1172050270,6,3,#N/A,270,#N/A
1500,1521,1520,535,5,0,551,6550,6550,510,5,1,1115211500,1165500551,6,3,#N/A,551,#N/A
1503,1521,1520,535,5,0,520,6550,6550,510,5,1,1115211503,1165500520,6,3,#N/A,520,#N/A
1476,1524,1520,535,5,0,284,7205,7200,505,5,1,1115241476,1172050284,6,3,#N/A,284,#N/A
1477,1524,1520,535,5,0,511,6550,6550,510,5,1,1115241477,1165500511,6,3,#N/A,511,#N/A
1485,1524,1520,535,5,0,520,6550,6550,510,5,1,1115241485,1165500520,6,4,#N/A,520,#N/A
818,1550,1550,520,5,0,511,6550,6550,510,5,1,1115500818,1165500511,6,4,#N/A,511,#N/A
819,1550,1550,520,5,0,287,7205,7200,505,5,1,1115500819,1172050287,6,4,#N/A,287,#N/A
824,1550,1550,520,5,0,283,7205,7200,505,5,1,1115500824,1172050283,6,3,#N/A,283,#N/A
826,1550,1550,520,5,0,287,7205,7200,505,5,1,1115500826,1172050287,6,3,#N/A,287,#N/A
840,1550,1550,520,5,0,287,7205,7200,505,5,1,1115500840,1172050287,6,3,#N/A,287,#N/A
844,1550,1550,520,5,0,552,6550,6550,510,5,1,1115500844,1165500552,6,5,#N/A,552,#N/A
849,1550,1550,520,5,0,521,6550,6550,510,5,1,1115500849,1165500521,6,3,#N/A,521,#N/A
859,1550,1550,520,5,0,287,7205,7200,505,5,1,1115500859,1172050287,6,4,#N/A,287,#N/A
2047,3800,3800,545,5,0,521,6550,6550,510,5,1,1138002047,1165500521,6,4,#N/A,521,#N/A
1819,3950,3950,540,5,0,276,7205,7200,505,5,1,1139501819,1172050276,6,3,#N/A,276,#N/A
2652,4001,4000,560,5,0,277,7205,7200,505,5,1,1140012652,1172050277,6,4,#N/A,277,#N/A
2669,4001,4000,560,5,0,527,6550,6550,510,5,1,1140012669,1165500527,6,3,#N/A,527,#N/A
2620,4004,4000,560,5,0,284,7205,7200,505,5,1,1140042620,1172050284,6,3,#N/A,284,#N/A
627,4150,4150,515,5,0,279,7205,7200,505,5,1,1141500627,1172050279,6,3,#N/A,279,#N/A
630,4150,4150,515,5,0,521,6550,6550,510,5,1,1141500630,1165500521,6,3,#N/A,521,#N/A
632,4150,4150,515,5,0,548,6550,6550,510,5,1,1141500632,1165500548,6,3,#N/A,548,#N/A
633,4150,4150,515,5,0,530,6550,6550,510,5,1,1141500633,1165500530,6,3,#N/A,530,#N/A
634,4150,4150,515,5,0,277,7205,7200,505,5,1,1141500634,1172050277,6,4,#N/A,277,#N/A
665,4450,4450,515,5,0,520,6550,6550,510,5,1,1144500665,1165500520,6,5,#N/A,520,#N/A
666,4450,4450,515,5,0,527,6550,6550,510,5,1,1144500666,1165500527,6,3,#N/A,527,#N/A
668,4450,4450,515,5,0,278,7205,7200,505,5,1,1144500668,1172050278,6,3,#N/A,278,#N/A
2544,4500,4500,560,5,0,527,6550,6550,510,5,1,1145002544,1165500527,6,3,#N/A,527,#N/A
2547,4500,4500,560,5,0,277,7205,7200,505,5,1,1145002547,1172050277,6,4,#N/A,277,#N/A
2560,4500,4500,560,5,0,277,7205,7200,505,5,1,1145002560,1172050277,6,3,#N/A,277,#N/A
3349,4651,4650,1005,10,0,288,7205,7200,505,5,1,1146513349,1172050288,6,3,#N/A,288,#N/A
3295,4653,4650,1005,10,0,540,6550,6550,510,5,1,1146533295,1165500540,6,3,#N/A,540,#N/A
3382,4655,4650,1005,10,0,527,6550,6550,510,5,1,1146553382,1165500527,6,3,#N/A,527,#N/A
2426,4700,4700,555,5,0,558,6550,6550,510,5,1,1147002426,1165500558,6,5,#N/A,558,#N/A
