ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note,travel_zone,note_entry
275,86468,Maroubra_ Maroubra Rd nr Bunnerong Rd,None,336324,6243052,Bus station,323,1,1,BUS_STOP,540,0
276,86472,Maroubra_ Bunnerong Rd nr Maroubra Rd,None,336306,6243134,Bus station,323,1,1,BUS_STOP,540,0
277,86474,Maroubra_ Anzac Pde nr Alma Rd,None,337251,6243205,Bus station,326,1,1,BUS_STOP,537,0
278,86475,Maroubra_ Torrington Rd nr Inman St,None,339188,6243054,Bus station,333,1,1,BUS_STOP,543,0
279,86476,Maroubra_ Torrington Rd nr Inman St,None,339163,6243052,Bus station,333,1,1,BUS_STOP,543,0
280,86477,Maroubra_ Anzac Pde nr Gale Rd,None,337174,6243311,Bus station,334,1,1,BUS_STOP,537,0
281,86478,Maroubra_ Flower St nr Gale Rd,None,338064,6243182,Bus station,339,1,1,BUS_STOP,539,0
282,86479,Maroubra_ Storey St nr Flower St,None,338043,6243280,Bus station,339,1,1,BUS_STOP,538,0
283,86480,Maroubra_ Storey St nr Flower St,None,338036,6243264,Bus station,339,1,1,BUS_STOP,538,0
284,86481,Maroubra_ Storey St nr Cooper St,None,337780,6243342,Bus station,341,1,1,BUS_STOP,538,0
285,86482,Maroubra_ Storey St nr Cooper St,None,337789,6243359,Bus station,341,1,1,BUS_STOP,538,0
286,86483,Maroubra_ Garden St nr Storey St,None,337560,6243414,Bus station,341,1,1,BUS_STOP,538,0
287,86484,Maroubra_ Garden St nr Storey St,None,337577,6243408,Bus station,341,1,1,BUS_STOP,538,0
288,86485,Maroubra_ Moverly Rd nr Cooper St,None,337883,6243568,Bus station,341,1,1,BUS_STOP,534,0
289,86486,Kingsford_ Moverly Rd nr Garden St,None,337642,6243620,Bus station,341,1,1,BUS_STOP,534,0
290,86487,Maroubra_ Moverly Rd nr Garden St,None,337635,6243601,Bus station,341,1,1,BUS_STOP,534,0
291,86488,Maroubra_ Bunnerong Rd nr Mason St,None,336369,6243318,Bus station,342,1,1,BUS_STOP,540,0
292,86489,Maroubra_ Bunnerong Rd nr Wark Av,None,336376,6243428,Bus station,342,1,1,BUS_STOP,540,0
293,86490,Pagewood_ Bunnerong Rd nr Keysor Rd,None,336422,6243555,Bus station,342,1,1,BUS_STOP,532,0
294,86491,Maroubra_ Bunnerong Rd nr Storey St,None,336443,6243557,Bus station,342,1,1,BUS_STOP,532,0
295,86492,Maroubra_ Torrington Rd nr Malabar Rd,None,338938,6243209,Bus station,344,1,1,BUS_STOP,539,0
296,86493,Maroubra_ Malabar Rd nr Torrington Rd,None,338930,6243250,Bus station,344,1,1,BUS_STOP,539,0
297,86494,South Coogee_ Malabar Rd opp Mermaid Av,None,338965,6243470,Bus station,344,1,1,BUS_STOP,543,0
298,86495,Maroubra_ Malabar Rd nr Mermaid Av,None,338981,6243430,Bus station,344,1,1,BUS_STOP,543,0
299,86496,Maroubra_ Anzac Pde nr Storey St,None,337149,6243445,Bus station,349,1,1,BUS_STOP,537,0
300,86497,Maroubra_ Anzac Pde nr Maroubra Junction Schools,None,337130,6243543,Bus station,349,1,1,BUS_STOP,537,0
301,86498,Maroubra_ Anzac Pde nr Storey St,None,337198,6243468,Bus station,349,1,1,BUS_STOP,533,0
302,86502,South Coogee_ Moverly Rd nr Henning Av,None,338135,6243532,Bus station,353,1,1,BUS_STOP,536,0
303,86503,South Coogee_ Moverly Rd nr Henning Av,None,338122,6243557,Bus station,353,1,1,BUS_STOP,536,0
304,86504,Kingsford_ Moverly Rd nr Cooper St,None,337922,6243578,Bus station,353,1,1,BUS_STOP,534,0
305,86506,Maroubra_ Anzac Pde nr Snape St,None,337101,6243662,Bus station,357,1,1,BUS_STOP,532,0
306,86507,Kingsford_ Anzac Pde nr Fischer St,None,337051,6243902,Bus station,357,1,1,BUS_STOP,532,0
307,86508,Kingsford_ Anzac Pde nr Broadbent St,None,337018,6244048,Bus station,357,1,1,BUS_STOP,532,0
308,86509,Kingsford_ Moverley Rd nr The Sydney French School,None,337342,6243645,Bus station,360,1,1,BUS_STOP,533,0
309,86510,Kingsford_ Avoca St nr Holmes St,None,337150,6243917,Bus station,360,1,1,BUS_STOP,533,0
310,86511,Kingsford_ Avoca St nr Anzac Pde,None,337127,6243923,Bus station,360,1,1,BUS_STOP,532,0
311,86512,Kingsford_ Anzac Pde nr Burbong St,None,337064,6244077,Bus station,360,1,1,BUS_STOP,530,0
312,86513,Kingsford_ Anzac Pde nr Avoca St,None,337105,6243905,Bus station,360,1,1,BUS_STOP,530,0
313,86515,South Coogee_ Moverly Rd nr Bryne Av,None,338542,6243623,Bus station,363,1,1,BUS_STOP,536,0
314,86516,South Coogee_ Moverly Rd nr Endeavour House,None,338536,6243673,Bus station,363,1,1,BUS_STOP,536,0
315,86518,South Coogee_ Malabar Rd nr Liguria St,None,339000,6243666,Bus station,377,1,1,BUS_STOP,535,0
316,86519,South Coogee_ Malabar Rd opp Liguria St,None,338984,6243669,Bus station,377,1,1,BUS_STOP,535,0
317,86520,South Coogee_ Malabar Rd nr Denning St,None,339002,6243840,Bus station,377,1,1,BUS_STOP,535,0
